StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   199112,    .25,   28.1,   -.33,    .65,     -1,   -.12,      0,   1144,  -1.59,   1.08,    .31,    .54,    .39,    .15,    .53,   15.3,     41,
       05,      04,   199201,    .93,   26.2,   -.05,    .84,    .76,     .5,      0,   1203,    .76,   -.47,   1.22,    .33,    .72,    .28,    .57,   13.3,   39.2,
       05,      04,   199202,    .34,   33.5,   -.38,   -.38,     -1,   -.38,      0,    882,  -1.38,   -.37,  -1.16,   -.18,    .62,    .27,    .47,   20.7,   46.3,
       05,      04,   199203,   2.84,   37.9,    .84,    .84,   2.53,    .84,      0,    840,   1.97,   1.53,   1.68,   1.21,   1.24,    .85,    .43,     25,   50.9,
       05,      04,   199204,    .87,   47.7,   -.86,   -.86,  -2.57,   -.86,      0,    519,  -1.68,    .46,    .08,    .61,     .2,    .64,     .3,   32.7,   62.7,
       05,      04,   199205,   1.51,   54.6,  -1.61,  -1.61,  -2.53,  -1.61,      5,    328,   -.88,  -1.63,   -.28,    -.7,   -.42,     .3,    .11,   39.9,   69.2,
       05,      04,   199206,    2.9,   59.6,    .58,   -.87,   1.73,    .09,     21,    183,   1.13,    .18,   -.55,    .16,    .22,    .49,    .74,   45.8,   73.4,
       05,      04,   199207,   2.29,   64.3,    .78,    .78,    .78,    .78,     44,     66,    .07,     .9,    .18,    .05,    .44,    .23,    .39,   50.2,   78.4,
       05,      04,   199208,   2.93,   62.9,   1.82,   1.82,   3.36,   1.82,     26,     91,   1.34,      1,   1.39,    .65,    .37,    .49,    .63,   48.5,   77.3,
       05,      04,   199209,    .36,   58.8,   -.64,    .99,  -1.91,      0,     15,    201,  -1.39,    .18,    .11,    -.4,    .17,    .23,    .21,   42.5,   75.1,
       05,      04,   199210,    .65,   48.8,   -.95,   -.95,  -1.15,   -.95,      0,    502,    -.6,  -1.42,   -.26,   -.13,   -.09,    .24,    .02,   33.1,   64.4,
       05,      04,   199211,   1.39,   28.7,     .6,     .6,   1.79,     .6,      0,   1089,   1.17,     .2,   -.75,    .54,    .23,      0,    .12,   17.6,   39.7,
       05,      04,   199212,     .7,   21.7,    .57,    .57,    .12,    .57,      0,   1342,   -.02,    .84,    .09,    .04,   -.36,    .14,     .2,    9.9,   33.5,
       05,      04,   199301,    .62,   22.5,    .49,    .49,   -.06,    .49,      0,   1318,   -.12,   -.18,    .64,    .03,    .03,    .04,    .21,   10.8,   34.2,
       05,      04,   199302,   1.22,   23.6,    .97,    .97,   1.58,    .97,      0,   1159,   1.23,    .79,    .52,   -.39,    .64,    .31,    .43,   12.1,   35.2,
       05,      04,   199303,   1.27,   36.3,    .88,    .88,    .03,    .88,      0,    890,    .19,    .72,    .54,    .33,    .22,    -.2,    .44,   23.6,     49,
       05,      04,   199304,   2.08,   41.8,   1.02,   1.02,    .69,   1.02,      0,    696,    .28,    .18,    .47,    .63,    .22,    .21,    .68,   28.9,   54.7,
       05,      04,   199305,   1.64,   52.8,   -.46,   -.46,  -1.38,   -.46,      0,    378,   -.71,   -.44,   -.42,   -.22,   -.68,    .23,    .43,   38.7,   66.8,
       05,      04,   199306,   2.29,   59.8,    .45,    .45,   1.34,    .45,     23,    179,    .57,   -.15,   -.12,    .03,    .02,    .04,    .42,   44.8,   74.9,
       05,      04,   199307,   1.53,   65.6,    .26,    .26,   -.42,    .26,     64,     46,     -1,   -.21,   -.59,   -.28,   -.06,   -.24,   -.01,   50.1,   81.2,
       05,      04,   199308,    1.8,   63.8,     .4,     .4,     .5,     .4,     37,     74,    .03,   -.73,   -.25,   -.51,   -.34,   -.68,   -.11,   49.6,   77.9,
       05,      04,   199309,   1.87,   54.5,    .94,    .94,   1.76,    .94,      0,    319,    .76,    .49,   -.15,   -.25,   -.08,   -.09,    .06,   39.6,   69.4,
       05,      04,   199310,   2.06,   44.1,   1.78,   1.78,    2.8,   1.78,      0,    648,   1.17,   1.25,    .97,    .11,     .3,    .44,    .46,   30.4,   57.8,
