StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      00,   199101,     .8,   21.9,  -1.37,  -1.37,    -.9,    -.4,      0,   1296,    -.4,   -.47,    .05,    .42,    .41,    .69,   -.41,    9.5,   34.3,
       05,      00,   199102,    .44,   32.5,  -1.95,  -1.95,  -2.17,  -1.48,      0,    868,  -1.78,  -1.42,  -1.28,    .15,    .11,    .41,   -.72,   17.7,   47.4,
       05,      00,   199103,   1.98,   34.9,  -1.77,  -1.77,   -.07,  -1.28,      0,    900,    .89,   -.11,   -.36,    .03,    .85,    .43,   -.49,   22.3,   47.5,
       05,      00,   199104,   1.27,   41.9,  -1.89,  -1.89,   -.92,  -1.63,      0,    678,   -.56,    .09,   -.56,   -.47,   -.07,    .08,   -.37,   28.4,   55.3,
       05,      00,   199105,   1.63,   53.5,  -2.11,  -2.11,  -1.25,  -2.11,      3,    343,   -.35,   -.67,   -.19,   -.86,   -.07,   -.06,   -.26,   39.3,   67.7,
       05,      00,   199106,   1.88,   62.5,    .11,  -1.79,    .33,  -1.57,     62,    113,    .65,    .15,   -.28,   -.48,   -.19,    .39,   -.24,   48.1,   76.9,
       05,      00,   199107,   2.69,   66.5,     .6,  -1.11,   1.49,   -.15,     95,     30,    .96,   1.01,    .55,   -.03,   -.02,    .19,   -.06,     52,   81.1,
       05,      00,   199108,   2.44,   65.5,   1.03,   1.03,    1.5,   1.03,     73,     45,     .7,   1.07,   1.11,    .51,      0,    .49,    .12,   51.6,   79.5,
       05,      00,   199109,   1.36,   57.5,    .95,    .95,    .07,    .89,     12,    227,   -.01,    .42,    .78,    .24,    .03,    .21,    .05,   43.1,     72,
       05,      00,   199110,   1.06,   47.4,    .67,    .67,   -.54,    .09,      0,    555,   -.26,   -.26,    .13,    .35,    .01,    .03,    .11,   31.9,   62.9,
       05,      00,   199111,   2.28,   30.5,   1.76,   1.76,   3.48,   1.76,      0,   1026,   2.13,   1.02,    .77,   1.16,    .75,    .33,    .64,   19.7,   41.3,
       05,      00,   199112,    .82,   25.9,   1.59,   1.59,    .04,   1.54,      0,   1154,   -.46,   1.31,    .61,     .9,    .45,    .26,    .69,   14.2,   37.6,
       05,      00,   199201,     .7,   24.7,   1.35,   1.35,   -.24,    1.1,      0,   1198,   -.66,   -.87,    .74,    .44,    .54,    .22,    .64,   11.8,   37.7,
       05,      00,   199202,    .83,   31.9,   1.19,   1.19,   -.05,    .85,      0,    886,   -.55,   -.89,  -1.07,   -.04,    .62,    .35,    .56,   19.5,   44.2,
       05,      00,   199203,   2.18,   38.1,    1.4,    1.4,      1,    1.4,      0,    825,   1.17,    .67,    .19,    .54,    .88,    .44,    .63,   25.5,   50.8,
       05,      00,   199204,    .79,   48.2,   -.99,   -.99,  -2.98,   -.99,      0,    503,  -1.83,   -.18,   -.45,    .04,      0,    .24,    .26,   33.4,   62.9,
       05,      00,   199205,   2.08,   54.6,  -1.04,  -1.04,   -.46,  -1.04,      6,    319,    .22,    -.7,   -.07,   -.63,   -.12,     .4,    .28,   40.9,   68.2,
       05,      00,   199206,   2.22,   59.7,    .54,    .54,   1.61,    .54,     25,    176,   1.05,    .77,   -.06,   -.02,    .25,    .53,    .72,   45.9,   73.5,
       05,      00,   199207,   2.54,   64.4,   1.17,   1.17,   2.06,   1.17,     57,     64,    .72,   1.19,    .96,    .38,    .61,    .51,    .49,   50.5,   78.3,
       05,      00,   199208,   2.89,   63.5,   2.19,   2.19,   3.43,   2.19,     36,     84,   1.38,   1.37,    1.6,    .91,    .45,     .7,    .83,   49.5,   77.4,
       05,      00,   199209,    .69,   58.6,   1.52,   1.52,  -1.33,    .86,     18,    195,  -1.11,     .2,     .5,    .21,    .23,    .45,    .42,   43.2,     74,
       05,      00,   199210,    .92,   49.1,   1.02,   1.02,  -1.05,   -.14,      0,    489,   -.49,  -1.15,   -.15,    .48,    .17,    .41,    .19,   34.1,   64.1,
       05,      00,   199211,    1.6,   28.4,   1.52,   1.52,   1.82,   1.11,      0,   1082,   1.07,    .19,   -.47,    .73,    .48,    .13,    .23,   17.6,   39.3,
       05,      00,   199212,   1.09,   22.1,   1.51,   1.51,    .45,   1.22,      0,   1320,    .15,    .77,    .08,    .37,    .19,    .21,    .32,   10.7,   33.5,
       05,      00,   199301,   1.59,   23.7,   1.98,   1.98,   1.87,   1.98,      0,   1293,    1.1,    .82,   1.21,    .51,     .9,    .57,    .56,   12.8,   34.6,
       05,      00,   199302,   2.04,   25.3,   2.99,   2.99,   3.63,   2.99,      0,   1128,    1.9,   1.93,   1.69,     .6,   1.45,   1.02,    .98,   14.5,   36.2,
       05,      00,   199303,   1.68,   36.1,   3.14,   3.14,   1.38,   3.14,      0,    880,    .45,   1.49,    1.7,   1.35,   1.29,    .84,    .95,   23.5,   48.7,
       05,      00,   199304,   1.77,   42.1,   2.98,   2.98,     .5,   2.98,      0,    678,    .16,    .27,    .98,   1.41,    .94,   1.22,   1.18,   29.2,   55.1,
       05,      00,   199305,   2.18,   52.6,   2.84,   2.84,    .49,   2.84,      1,    370,    .33,    .23,    .32,   1.08,    .58,   1.24,   1.24,   39.1,   66.2,
       05,      00,   199306,   1.36,   60.2,   2.68,   2.68,    .38,   2.68,     33,    169,   -.08,    .17,    .09,    .92,     .8,     .9,   1.09,   45.5,     75,
       05,      00,   199307,   1.21,     66,   2.04,   2.04,  -1.08,   1.52,     84,     44,   -1.5,  -1.15,   -.58,    .16,    .65,    .39,    .64,   50.9,   81.1,
