genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Eustrephus latifolius,Asparagaceae,Asparagales,angio,non-woody,Vine,,S,12.78,12.78,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Gymnostachys anceps,Araceae,Alismatales,angio,non-woody,Herb,,S,112.24,112.24,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Hippocratea barbata,Celastraceae,Celastrales,angio,woody,Liana,E,S,7.14,7.14,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Hymenanthera dentata,Violaceae,Malpighiales,angio,woody,Tree,E,S,1.09,1.09,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Morinda jasminoides,Rubiaceae,Gentianales,angio,woody,Liana,E,S,10.07,10.07,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Palmeria scandens,Monimiaceae,Laurales,angio,woody,Liana,E,S,26.74,26.74,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Pandorea pandorana,Bignoniaceae,Lamiales,angio,woody,Liana,E,C,5.69,,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Pittosporum undulatum,Pittosporaceae,Apiales,angio,woody,Tree,E,S,39.24,39.24,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Schizomeria ovata,Cunoniaceae,Oxalidales,angio,woody,Tree,E,S,17.61,17.61,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Stenocarpus salignus,Proteaceae,Proteales,angio,woody,Tree,E,S,29.51,29.51,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Syncarpia glomulifera,Myrtaceae,Myrtales,angio,woody,Tree,E,S,25.66,25.66,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Synoum glandulosum,Meliaceae,Sapindales,angio,woody,Shrub,E,C,18.67,,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Syzygium oleosum,Myrtaceae,Myrtales,angio,woody,Tree,E,S,31.1,31.1,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Tylophora barbata,Apocynaceae,Gentianales,angio,non-woody,Vine,,S,10.47,10.47,Australia,-34.567,150.656,265,15.1,15.05,8.86,8.86,20.36,1578,1523,92.33,1.24,1.19,1276.65,1276.65,194.68,194.68,61.64,61.64
Atriplex eardleyae,Amaranthaceae,Caryophyllales,angio,non-woody,Herb,,S,0.88,0.88,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Atriplex lindleyi,Amaranthaceae,Caryophyllales,angio,non-woody,Herb,,S,0.2,0.2,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Atriplex vesicaria,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.23,0.23,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Bulbine sp,Xanthorrhoeaceae,Asparagales,angio,non-woody,Herb,,S,0.4,0.4,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Chamaesyce drummondii,Euphorbiaceae,Malpighiales,angio,non-woody,Herb,,S,0.07,0.07,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Dissocarpus paradoxa,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.08,0.08,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Maireana pyramidata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.03,0.03,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Maireana sp,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.04,0.04,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Malacocera tricornis,Amaranthaceae,Caryophyllales,angio,non-woody,Herb,,S,0.1,0.1,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Sclerolaena divaricata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.05,0.05,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Sclerolaena patenticuspis,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.07,0.07,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Sida intricata,Malvaceae,Malvales,angio,non-woody,Herb,,S,0.32,0.32,Australia,-33.75,143.086,100,17.4,17.43,9.76,9.76,25.16,271,346,105.93,0.18,0.23,1529.64,1529.64,220.8,220.8,50.74,50.74
Acacia longissima,Fabaceae,Fabales,angio,woody,Shrub,E,S,4.35,4.35,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Allocasuarina torulosa,Casuarinaceae,Fagales,angio,woody,Tree,E,S,0.53,0.53,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Archirhodomyrtus beckleri,Myrtaceae,Myrtales,angio,woody,Tree,E,S,6.48,6.48,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Blechnum cartilagineum,Blechnaceae,Polypodiales,Ferns,non-woody,Fern,,C,1.32,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Breynia oblongifolia,Phyllanthaceae,Malpighiales,angio,woody,Shrub,E,S,3.18,3.18,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Callicoma serratifolia,Cunoniaceae,Oxalidales,angio,woody,Tree,E,S,37.45,37.45,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Calochlaena dubia,Dicksoniaceae,Cyatheales,Ferns,non-woody,Fern,,C,1.91,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Cassytha glabella,Lauraceae,Laurales,angio,non-woody,Vine,,S,1.49,1.49,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Cordyline congesta,Asparagaceae,Asparagales,angio,woody,Shrub,E,S,59.05,59.05,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Cyperus sp,Cyperaceae,Poales,angio,non-woody,Grass,,S,6.34,6.34,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Desmodium varians,Fabaceae,Fabales,angio,non-woody,Vine,,C,1.38,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Dianella caerulea,Xanthorrhoeaceae,Asparagales,angio,non-woody,Herb,,S,17.31,17.31,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Dioscorea transversa,Dioscoreaceae,Dioscoreales,angio,non-woody,Vine,,S,8.03,8.03,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Elaeocarpus reticulatus,Elaeocarpaceae,Oxalidales,angio,woody,Tree,E,S,12.61,12.61,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Entolasia stricta,Poaceae,Poales,angio,non-woody,Grass,,S,0.6,0.6,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Eucalyptus acmenoides,Myrtaceae,Myrtales,angio,woody,Tree,E,S,11.78,11.78,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Eucalyptus botryoides,Myrtaceae,Myrtales,angio,woody,Tree,E,S,31.65,31.65,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Eupomatia laurina,Eupomatiaceae,Magnoliales,angio,woody,Tree,E,S,30.52,30.52,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Ficus coronata,Moraceae,Rosales,angio,woody,Shrub,E,S,25.41,25.41,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Geitonoplesium cymosum,Xanthorrhoeaceae,Asparagales,angio,non-woody,Vine,,S,2.21,2.21,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Glycine microphylla,Fabaceae,Fabales,angio,non-woody,Vine,,C,1.1,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Hibbertia scandens,Dilleniaceae,Dilleniales,angio,woody,Liana,E,S,34.24,34.24,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Imperata cylindrica,Poaceae,Poales,angio,non-woody,Grass,,S,14.12,14.12,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Kennedia rubicunda,Fabaceae,Fabales,angio,non-woody,Vine,E,C,6.04,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Lantana camara,Verbenaceae,Lamiales,angio,woody,Shrub,E,S,35.96,35.96,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Lepidosperma laterale,Cyperaceae,Poales,angio,non-woody,Grass,,S,46.67,46.67,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Lomandra longifolia,Asparagaceae,Asparagales,angio,non-woody,Herb,,S,23.39,23.39,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Lomatia silaifolia,Proteaceae,Proteales,angio,woody,Shrub,E,C,3.15,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Neolitsea australiensis,Lauraceae,Laurales,angio,woody,Tree,E,S,26.07,26.07,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Neolitsea dealbata,Lauraceae,Laurales,angio,woody,Shrub,E,S,27.62,27.62,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Ochna serrulata,Ochnaceae,Malpighiales,angio,woody,Shrub,E,S,5.31,5.31,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Oxalis corniculata,Oxalidaceae,Oxalidales,angio,non-woody,Herb,,C,0.23,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Pandorea pandorana,Bignoniaceae,Lamiales,angio,woody,Liana,E,C,2.18,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Persoonia levis,Proteaceae,Proteales,angio,woody,Shrub,E,S,13.64,13.64,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Pittosporum undulatum,Pittosporaceae,Apiales,angio,woody,Tree,E,S,34.25,34.25,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Polyscias sambucifolia,Araliaceae,Apiales,angio,woody,Shrub,E,C,5.75,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Pomaderris lanigera,Rhamnaceae,Rosales,angio,woody,Shrub,E,S,18.72,18.72,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Pomax umbellata,Rubiaceae,Gentianales,angio,woody,Shrub,E,S,1.21,1.21,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Pultenaea linophylla,Fabaceae,Fabales,angio,woody,Shrub,E,S,0.31,0.31,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Rubus hillii,Rosaceae,Rosales,angio,woody,Liana,E,S,31.54,31.54,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Rubus parvifolius,Rosaceae,Rosales,angio,woody,Shrub,D,C,1.08,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Smilax glyciphylla,Smilacaceae,Liliales,angio,non-woody,Vine,,S,15.79,15.79,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Synoum glandulosum,Meliaceae,Sapindales,angio,woody,Shrub,E,C,16.92,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Syzygium crebrinerve,Myrtaceae,Myrtales,angio,woody,Tree,E,S,14.81,14.81,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Viola hederacea,Violaceae,Malpighiales,angio,non-woody,Herb,,S,3.2,3.2,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Wilkiea huegeliana,Monimiaceae,Laurales,angio,woody,Shrub,E,S,58.48,58.48,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Zieria smithii,Rutaceae,Sapindales,angio,woody,Shrub,E,C,2.07,,Australia,-30.636,153.002,30,18.6,18.58,13.05,13.05,23.15,1429,1658,94.03,0.97,1.13,1470.79,1470.79,210.3,210.3,64.48,64.48
Acacia aneura,Fabaceae,Fabales,angio,woody,Tree,E,S,1.82,1.82,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Acacia tetragonophylla,Fabaceae,Fabales,angio,woody,Tree,E,S,0.16,0.16,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Atriplex stipitata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.1,0.1,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Citrullus colocynthis,Cucurbitaceae,Cucurbitales,angio,non-woody,Vine,,S,3.37,3.37,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Dodonaea viscosa subsp angustissima,Sapindaceae,Sapindales,angio,woody,Shrub,E,S,0.32,0.32,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Maireana pyramidata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.03,0.03,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Maireana sp,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.13,0.13,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Sclerolaena divaricata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.07,0.07,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Sclerolaena sp,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.04,0.04,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Solanum ellipticum,Solanaceae,Solanales,angio,woody,Shrub,E,S,4.06,4.06,Australia,-31.567,143.26,100,19.2,19.23,10.6,10.6,27.3,226,329,116.66,0.13,0.19,1733.58,1733.58,241.5,241.5,44.1,44.1
Acacia deanei,Fabaceae,Fabales,angio,woody,Tree,E,C,0.08,1.94,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Brachychiton populneus,Malvaceae,Malvales,angio,woody,Tree,E,S,10.83,10.83,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Callitris columellaris,Cupressaceae,Cupressales,gymno,woody,Tree,E,S,0.21,0.21,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Einadia nutans,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.1,0.1,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Eucalyptus melliodora,Myrtaceae,Myrtales,angio,woody,Tree,E,S,16.48,16.48,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Eucalyptus populnea,Myrtaceae,Myrtales,angio,woody,Tree,E,S,14.92,14.92,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Myoporum montanum,Scrophulariaceae,Lamiales,angio,woody,Shrub,E,S,4.19,4.19,Australia,-33.882,146.702,350,15.8,15.84,7.57,7.57,23.97,475,540,83.21,0.32,0.36,1495.38,1495.38,217.15,217.15,53.28,53.28
Apophyllum anomalum,Capparaceae,Brassicales,angio,woody,Tree,E,S,1.93,1.93,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Atriplex leptocarpa,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.18,0.18,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Atriplex stipitata,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.27,0.27,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Eremophila mitchelli,Scrophulariaceae,Lamiales,angio,woody,Shrub,E,S,0.77,0.77,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Flindersia maculosa,Rutaceae,Sapindales,angio,woody,Tree,E,S,0.93,0.93,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Geijera parviflora,Rutaceae,Sapindales,angio,woody,Tree,E,S,3.03,3.03,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Maireana decalvans,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.06,0.06,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Rhagodia spinescens,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.11,0.11,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Salsola kali,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.04,0.04,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Sclerolaena tricuspis,Amaranthaceae,Caryophyllales,angio,woody,Shrub,E,S,0.08,0.08,Australia,-31.521,147.209,170,18.4,18.43,9.93,9.93,26.43,404,563,95.43,0.24,0.34,1680,1680,234.46,234.46,49.02,49.02
Actinotus minor,Apiaceae,Apiales,angio,non-woody,Herb,,S,0.2,0.2,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Banksia serrata,Proteaceae,Proteales,angio,woody,Tree,E,S,15.43,15.43,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Banksia spinulosa var collina,Proteaceae,Proteales,angio,woody,Shrub,E,S,1.86,1.86,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Boronia ledifolia,Rutaceae,Sapindales,angio,woody,Shrub,E,S,0.31,0.31,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Boronia pinnata,Rutaceae,Sapindales,angio,woody,Shrub,E,C,0.43,,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Bossiaea heterophylla,Fabaceae,Fabales,angio,woody,Shrub,E,S,0.2,0.2,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Bossiaea obcordata,Fabaceae,Fabales,angio,woody,Shrub,E,S,0.17,0.17,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Conospermum longifolium longifolium,Proteaceae,Proteales,angio,woody,Shrub,E,S,10.28,10.28,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Corymbia gummifera,Myrtaceae,Myrtales,angio,woody,Tree,E,S,16.2,16.2,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
Cyathochaeta diandra,Cyperaceae,Poales,angio,non-woody,Grass,,S,11.99,11.99,Australia,-33.264,151.292,290,15.8,15.84,9.62,9.62,21.02,1251,1237,85.08,0.91,0.9,1370.22,1370.23,200.07,200.07,61.86,61.86
