genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Tilia americana,Malvaceae,Malvales,angio,woody,Tree,D,S,98.98,98.98,United States,43.9,-71.75,618,5.6,14.28,-9.01,7.39,18.99,1310,555,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
Vaccinium fuscatum,Ericaceae,Ericales,angio,woody,Shrub,D,S,11.37,11.37,United States,43.9,-71.75,618,5.6,14.28,-9.01,7.39,18.99,1310,555,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
Acer pennsylvanicum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,135.5,135.5,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Acer rubrum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,49.3,49.3,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Acer saccharum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,47.8,47.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Acer spicatum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,55.1,55.1,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Amelanchier laevis,Rosaceae,Rosales,angio,woody,Tree,D,S,24.4,24.4,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Betula lenta,Betulaceae,Fagales,angio,woody,Tree,D,S,49,49,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Carpinus caroliniana,Betulaceae,Fagales,angio,woody,Tree,D,S,26.3,26.3,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Carya ovata,Juglandaceae,Fagales,angio,woody,Tree,D,C,12.2,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Clematis virginiana,Ranunculaceae,Ranunculales,angio,woody,Liana,D,C,47.8,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Comptonia peregrina,Myricaceae,Fagales,angio,woody,Shrub,D,S,5.5,5.5,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Cornus amomum,Cornaceae,Cornales,angio,woody,Shrub,D,S,11.5,11.5,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Crataegus sp,Rosaceae,Rosales,angio,woody,Tree,D,S,20.8,20.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Dirca palustris,Thymelaeaceae,Malvales,angio,woody,Shrub,D,S,35.8,35.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Fagus grandifolia,Fagaceae,Fagales,angio,woody,Tree,D,S,47.5,47.5,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Fraxinus americana,Oleaceae,Lamiales,angio,woody,Tree,D,C,23.4,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Hamamelis virginiana,Hamamelidaceae,Saxifragales,angio,woody,Shrub,D,S,26.4,26.4,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Kalmia latifolia,Ericaceae,Ericales,angio,woody,Tree,E,S,16.9,16.9,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Liriodendron tulipifera,Magnoliaceae,Magnoliales,angio,woody,Tree,D,S,79.1,79.1,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Magnolia acuminata,Magnoliaceae,Magnoliales,angio,woody,Tree,D,S,264.3,264.3,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Ostrya virginiana,Betulaceae,Fagales,angio,woody,Tree,D,S,13.5,13.5,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Populus grandidentata,Salicaceae,Malpighiales,angio,woody,Tree,D,S,47,47,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Populus tremuloides,Salicaceae,Malpighiales,angio,woody,Tree,D,S,20.9,20.9,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Prunus serotina,Rosaceae,Rosales,angio,woody,Tree,D,S,12.9,12.9,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Prunus virginiana,Rosaceae,Rosales,angio,woody,Shrub,D,S,9.3,9.3,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Quercus alba,Fagaceae,Fagales,angio,woody,Tree,D,S,39.1,39.1,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Quercus prinus,Fagaceae,Fagales,angio,woody,Tree,D,S,61,61,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Quercus rubra,Fagaceae,Fagales,angio,woody,Tree,D,S,50.2,50.2,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
