"","year","twig.mean","bark.mean","leaf.mean","seed.mean","twig.sum","bark.sum","leaf.sum","seed.sum","total"
"1",2021,68.4877635416667,31.0087602546296,115.772285439815,19.6862176388889,205.463290625,93.0262807638889,347.316856319444,59.0586529166666,234.955026875
"2",2022,49.0003217096561,37.843258260582,171.710530023148,3.38441140542328,147.000965128968,113.529774781746,515.131590069444,10.1532342162699,261.938521398809
"3",2023,51.6490287797619,39.2588370238095,189.913132202381,2.25045651785714,154.947086339286,117.776511071429,569.739396607143,6.75136955357143,283.07145452381
