"year","twig","bark","seed","leaf","total_litter"
"2020",381.59,100.87,142.1,1137.1,1761.66
"2021",1858.5183,721.3572,496.8128,2509.5372,5586.2255
"2022",1567.3516,876.5163,63.8334,3194.4413,5702.1426
"2023",1017.5202,913.7874,39.4161,3749.0367,5719.7604
